;DEVICE;FUNCTION;DATA_TYPE;NUM_S;RANGE_S;NUM_SI;RANGE_SI;NUM_ARR;RANGE_ARR
0;8051;insertionsort;int8_t;0;0;1;1;1;1
1;8051;insertionsort;int16_t;0;0;1;1;1;1
2;8051;insertionsort;int32_t;0;0;1;1;1;1
3;8051;insertionsort;float;0;0;1;1;1;1
4;atmega328p;insertionsort;int8_t;0;0;1;1;1;1
5;atmega328p;insertionsort;int16_t;0;0;1;1;1;1
6;atmega328p;insertionsort;int32_t;0;0;1;1;1;1
7;atmega328p;insertionsort;float;0;0;1;1;1;1
8;leon3;insertionsort;int8_t;0;0;1;1;1;1
9;leon3;insertionsort;int16_t;0;0;1;1;1;1
10;leon3;insertionsort;int32_t;0;0;1;1;1;1
11;leon3;insertionsort;float;0;0;1;1;1;1
12;8051;dijkstra;int8_t;0;0;1;1;1;1
13;8051;dijkstra;int16_t;0;0;1;1;1;1
14;8051;dijkstra;int32_t;0;0;1;1;1;1
15;8051;dijkstra;float;0;0;1;1;1;1
16;atmega328p;dijkstra;int8_t;0;0;1;1;1;1
17;atmega328p;dijkstra;int16_t;0;0;1;1;1;1
18;atmega328p;dijkstra;int32_t;0;0;1;1;1;1
19;atmega328p;dijkstra;float;0;0;1;1;1;1
20;leon3;dijkstra;int8_t;0;0;1;1;1;1
21;leon3;dijkstra;int16_t;0;0;1;1;1;1
22;leon3;dijkstra;int32_t;0;0;1;1;1;1
23;leon3;dijkstra;float;0;0;1;1;1;1
24;8051;bellmanford;int8_t;0;0;1;1;1;1
25;8051;bellmanford;int16_t;0;0;1;1;1;1
26;8051;bellmanford;int32_t;0;0;1;1;1;1
27;8051;bellmanford;float;0;0;1;1;1;1
28;atmega328p;bellmanford;int8_t;0;0;1;1;1;1
29;atmega328p;bellmanford;int16_t;0;0;1;1;1;1
30;atmega328p;bellmanford;int32_t;0;0;1;1;1;1
31;atmega328p;bellmanford;float;0;0;1;1;1;1
32;leon3;bellmanford;int8_t;0;0;1;1;1;1
33;leon3;bellmanford;int16_t;0;0;1;1;1;1
34;leon3;bellmanford;int32_t;0;0;1;1;1;1
35;leon3;bellmanford;float;0;0;1;1;1;1
36;8051;mergesort;int8_t;0;0;1;1;1;1
37;8051;mergesort;int16_t;0;0;1;1;1;1
38;8051;mergesort;int32_t;0;0;1;1;1;1
39;8051;mergesort;float;0;0;1;1;1;1
40;atmega328p;mergesort;int8_t;0;0;1;1;1;1
41;atmega328p;mergesort;int16_t;0;0;1;1;1;1
42;atmega328p;mergesort;int32_t;0;0;1;1;1;1
43;atmega328p;mergesort;float;0;0;1;1;1;1
44;leon3;mergesort;int8_t;0;0;1;1;1;1
45;leon3;mergesort;int16_t;0;0;1;1;1;1
46;leon3;mergesort;int32_t;0;0;1;1;1;1
47;leon3;mergesort;float;0;0;1;1;1;1
48;8051;bubblesort;int8_t;0;0;1;1;1;1
49;8051;bubblesort;int16_t;0;0;1;1;1;1
50;8051;bubblesort;int32_t;0;0;1;1;1;1
51;8051;bubblesort;float;0;0;1;1;1;1
52;atmega328p;bubblesort;int8_t;0;0;1;1;1;1
53;atmega328p;bubblesort;int16_t;0;0;1;1;1;1
54;atmega328p;bubblesort;int32_t;0;0;1;1;1;1
55;atmega328p;bubblesort;float;0;0;1;1;1;1
56;leon3;bubblesort;int8_t;0;0;1;1;1;1
57;leon3;bubblesort;int16_t;0;0;1;1;1;1
58;leon3;bubblesort;int32_t;0;0;1;1;1;1
59;leon3;bubblesort;float;0;0;1;1;1;1
60;8051;bfsdfs;int8_t;0;0;1;1;2;1
61;8051;bfsdfs;int16_t;0;0;1;1;2;1
62;8051;bfsdfs;int32_t;0;0;1;1;2;1
63;8051;bfsdfs;float;0;0;1;1;2;1
64;atmega328p;bfsdfs;int8_t;0;0;1;1;2;1
65;atmega328p;bfsdfs;int16_t;0;0;1;1;2;1
66;atmega328p;bfsdfs;int32_t;0;0;1;1;2;1
67;atmega328p;bfsdfs;float;0;0;1;1;2;1
68;leon3;bfsdfs;int8_t;0;0;1;1;2;1
69;leon3;bfsdfs;int16_t;0;0;1;1;2;1
70;leon3;bfsdfs;int32_t;0;0;1;1;2;1
71;leon3;bfsdfs;float;0;0;1;1;2;1
72;8051;kruskal;int8_t;0;0;1;1;1;1
73;8051;kruskal;int16_t;0;0;1;1;1;1
74;8051;kruskal;int32_t;0;0;1;1;1;1
75;8051;kruskal;float;0;0;1;1;1;1
76;atmega328p;kruskal;int8_t;0;0;1;1;1;1
77;atmega328p;kruskal;int16_t;0;0;1;1;1;1
78;atmega328p;kruskal;int32_t;0;0;1;1;1;1
79;atmega328p;kruskal;float;0;0;1;1;1;1
80;leon3;kruskal;int8_t;0;0;1;1;1;1
81;leon3;kruskal;int16_t;0;0;1;1;1;1
82;leon3;kruskal;int32_t;0;0;1;1;1;1
83;leon3;kruskal;float;0;0;1;1;1;1
84;8051;binarysearch;int8_t;1;3;1;1;1;1
85;8051;binarysearch;int16_t;1;3;1;1;1;1
86;8051;binarysearch;int32_t;1;3;1;1;1;1
87;8051;binarysearch;float;1;3;1;1;1;1
88;atmega328;binarysearch;int8_t;1;3;1;1;1;1
89;atmega328;binarysearch;int16_t;1;3;1;1;1;1
90;atmega328;binarysearch;int32_t;1;3;1;1;1;1
91;atmega328;binarysearch;float;1;3;1;1;1;1
92;leon3;binarysearch;int8_t;1;3;1;1;1;1
93;leon3;binarysearch;int16_t;1;3;1;1;1;1
94;leon3;binarysearch;int32_t;1;3;1;1;1;1
95;leon3;binarysearch;float;1;3;1;1;1;1
96;8051;selectionsort;int8_t;0;0;1;1;1;1
97;8051;selectionsort;int16_t;0;0;1;1;1;1
98;8051;selectionsort;int32_t;0;0;1;1;1;1
99;8051;selectionsort;float;0;0;1;1;1;1
100;atmega328p;selectionsort;int8_t;0;0;1;1;1;1
101;atmega328p;selectionsort;int16_t;0;0;1;1;1;1
102;atmega328p;selectionsort;int32_t;0;0;1;1;1;1
103;atmega328p;selectionsort;float;0;0;1;1;1;1
104;leon3;selectionsort;int8_t;0;0;1;1;1;1
105;leon3;selectionsort;int16_t;0;0;1;1;1;1
106;leon3;selectionsort;int32_t;0;0;1;1;1;1
107;leon3;selectionsort;float;0;0;1;1;1;1
108;8051;floydwarshall;uint8_t;0;0;1;1;1;0
109;8051;floydwarshall;uint16_t;0;0;1;1;1;0
110;8051;floydwarshall;uint32_t;0;0;1;1;1;0
111;8051;floydwarshall;float;0;0;1;1;1;0
112;atmega328p;floydwarshall;uint8_t;0;0;1;1;1;1
113;atmega328p;floydwarshall;uint16_t;0;0;1;1;1;1
114;atmega328p;floydwarshall;uint32_t;0;0;1;1;1;1
115;atmega328p;floydwarshall;float;0;0;1;1;1;1
116;leon3;floydwarshall;uint8_t;0;0;1;1;1;0
117;leon3;floydwarshall;uint16_t;0;0;1;1;1;0
118;leon3;floydwarshall;uint32_t;0;0;1;1;1;0
119;leon3;floydwarshall;float;0;0;1;1;1;0
