*|************|*************|*************|***********|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|*********************|* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_00  | 47          | 16568       | 0.67828   | 33914        | 721.574468085106    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_01  | 47          | 16568       | 0.67828   | 33914        | 721.574468085106    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_02  | 39          | 16505       | 0.67424   | 33712        | 864.410256410256    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_03  | 47          | 16568       | 0.67828   | 33914        | 721.574468085106    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_04  | 39          | 16505       | 0.67424   | 33712        | 864.410256410256    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_05  | 39          | 16505       | 0.67424   | 33712        | 864.410256410256    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_06  | 47          | 16568       | 0.67828   | 33914        | 721.574468085106    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_07  | 39          | 16505       | 0.67424   | 33712        | 864.410256410256    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_08  | 39          | 16505       | 0.67424   | 33712        | 864.410256410256    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_09  | 39          | 16505       | 0.67424   | 33712        | 864.410256410256    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_10  | 99          | 17110       | 0.692     | 34600        | 349.494949494949    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_100 | 43          | 16572       | 0.6765    | 33825        | 786.627906976744    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_101 | 43          | 16572       | 0.6765    | 33825        | 786.627906976744    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_102 | 53          | 16739       | 0.68282   | 34141        | 644.169811320755    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_103 | 43          | 16572       | 0.6765    | 33825        | 786.627906976744    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_104 | 53          | 16739       | 0.68282   | 34141        | 644.169811320755    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_105 | 43          | 16572       | 0.6765    | 33825        | 786.627906976744    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_106 | 43          | 16572       | 0.6765    | 33825        | 786.627906976744    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_107 | 61          | 16803       | 0.68468   | 34234        | 561.213114754098    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_108 | 43          | 16572       | 0.6765    | 33825        | 786.627906976744    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_109 | 53          | 16739       | 0.68282   | 34141        | 644.169811320755    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_11  | 59          | 16671       | 0.6786    | 33930        | 575.084745762712    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_110 | 133         | 17761       | 0.70886   | 35443        | 266.488721804511    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_111 | 81          | 17039       | 0.6907    | 34535        | 426.358024691358    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_112 | 71          | 16872       | 0.68438   | 34219        | 481.957746478873    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_113 | 81          | 17039       | 0.6907    | 34535        | 426.358024691358    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_114 | 81          | 17039       | 0.6907    | 34535        | 426.358024691358    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_115 | 71          | 16872       | 0.68438   | 34219        | 481.957746478873    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_116 | 71          | 16872       | 0.68438   | 34219        | 481.957746478873    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_117 | 71          | 16872       | 0.68438   | 34219        | 481.957746478873    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_118 | 123         | 17594       | 0.70482   | 35241        | 286.512195121951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_119 | 71          | 16872       | 0.68438   | 34219        | 481.957746478873    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_12  | 91          | 17047       | 0.6906    | 34530        | 379.450549450549    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_120 | 61          | 16803       | 0.68468   | 34234        | 561.213114754098    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_121 | 61          | 16803       | 0.68468   | 34234        | 561.213114754098    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_122 | 53          | 16739       | 0.68282   | 34141        | 644.169811320755    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_123 | 53          | 16739       | 0.68282   | 34141        | 644.169811320755    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_124 | 43          | 16572       | 0.6765    | 33825        | 786.627906976744    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_125 | 43          | 16572       | 0.6765    | 33825        | 786.627906976744    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_126 | 53          | 16739       | 0.68282   | 34141        | 644.169811320755    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_127 | 43          | 16572       | 0.6765    | 33825        | 786.627906976744    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_128 | 53          | 16739       | 0.68282   | 34141        | 644.169811320755    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_129 | 53          | 16739       | 0.68282   | 34141        | 644.169811320755    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_13  | 99          | 17110       | 0.692     | 34600        | 349.494949494949    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_130 | 57          | 16717       | 0.68026   | 34013        | 596.719298245614    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_131 | 57          | 16717       | 0.68026   | 34013        | 596.719298245614    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_132 | 57          | 16717       | 0.68026   | 34013        | 596.719298245614    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_133 | 57          | 16717       | 0.68026   | 34013        | 596.719298245614    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_134 | 57          | 16717       | 0.68026   | 34013        | 596.719298245614    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_135 | 67          | 16884       | 0.68658   | 34329        | 512.373134328358    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_136 | 57          | 16717       | 0.68026   | 34013        | 596.719298245614    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_137 | 67          | 16884       | 0.68658   | 34329        | 512.373134328358    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_138 | 101         | 17309       | 0.69732   | 34866        | 345.207920792079    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_139 | 57          | 16717       | 0.68026   | 34013        | 596.719298245614    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_14  | 59          | 16671       | 0.6786    | 33930        | 575.084745762712    |* 
*|************|*************|*************|***********|**************|*********************|* 
