*|************|*************|*************|***********|**************|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Expected Ass | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_00  | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_01  | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_02  | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_03  | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_04  | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_05  | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_06  | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_07  | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_08  | 132         | 2304        | 0.002747  | 41472        | 32964        | 249.727272727273    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_09  | 135         | 2356        | 0.002808  | 42408        | 33696        | 249.6               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_10  | 250         | 7466        | 0.010585  | 134388       | 127020       | 508.08              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_100 | 433         | 10056       | 0.011716  | 181008       | 140592       | 324.692840646651    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_101 | 425         | 10056       | 0.011716  | 181008       | 140592       | 330.804705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_102 | 431         | 10042       | 0.011709  | 180756       | 140508       | 326.00464037123     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_103 | 425         | 10056       | 0.011716  | 181008       | 140592       | 330.804705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_104 | 431         | 10109       | 0.011778  | 181962       | 141336       | 327.925754060325    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_105 | 426         | 10057       | 0.011717  | 181026       | 140604       | 330.056338028169    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_106 | 428         | 10129       | 0.011807  | 182322       | 141684       | 331.03738317757     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_107 | 435         | 9997        | 0.011671  | 179946       | 140052       | 321.958620689655    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_108 | 436         | 10062       | 0.011738  | 181116       | 140856       | 323.064220183486    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_109 | 435         | 10115       | 0.0118    | 182070       | 141600       | 325.51724137931     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_11  | 253         | 7519        | 0.010647  | 135342       | 127764       | 504.99604743083     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_110 | 250         | 7467        | 0.010586  | 134406       | 127032       | 508.128             |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_111 | 253         | 7519        | 0.010647  | 135342       | 127764       | 504.99604743083     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_112 | 247         | 7415        | 0.010525  | 133470       | 126300       | 511.336032388664    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_113 | 244         | 7362        | 0.010463  | 132516       | 125556       | 514.573770491803    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_114 | 249         | 7347        | 0.010413  | 132246       | 124956       | 501.831325301205    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_115 | 244         | 7362        | 0.010463  | 132516       | 125556       | 514.573770491803    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_116 | 246         | 7295        | 0.010352  | 131310       | 124224       | 504.975609756098    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_117 | 249         | 7347        | 0.010413  | 132246       | 124956       | 501.831325301205    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_118 | 244         | 7362        | 0.010463  | 132516       | 125556       | 514.573770491803    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_119 | 247         | 7414        | 0.010524  | 133452       | 126288       | 511.287449392713    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_12  | 253         | 7519        | 0.010647  | 135342       | 127764       | 504.99604743083     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_120 | 435         | 9997        | 0.011671  | 179946       | 140052       | 321.958620689655    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_121 | 434         | 10129       | 0.011807  | 182322       | 141684       | 326.460829493088    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_122 | 431         | 9990        | 0.011648  | 179820       | 139776       | 324.30626450116     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_123 | 425         | 10004       | 0.011655  | 180072       | 139860       | 329.082352941176    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_124 | 436         | 10095       | 0.011771  | 181710       | 141252       | 323.97247706422     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_125 | 430         | 9977        | 0.011642  | 179586       | 139704       | 324.893023255814    |* 
