*|************|*************|*************|***********|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|*********************|* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_00  | 138         | 17311       | 0.71 ms   | 35376        | 256.347826086957    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_01  | 135         | 17248       | 0.70 ms   | 35170        | 260.518518518519    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_02  | 135         | 17248       | 0.70 ms   | 35170        | 260.518518518519    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_03  | 138         | 17311       | 0.71 ms   | 35376        | 256.347826086957    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_04  | 138         | 17311       | 0.71 ms   | 35376        | 256.347826086957    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_05  | 138         | 17311       | 0.71 ms   | 35376        | 256.347826086957    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_06  | 135         | 17248       | 0.70 ms   | 35170        | 260.518518518519    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_07  | 135         | 17248       | 0.70 ms   | 35170        | 260.518518518519    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_08  | 135         | 17248       | 0.70 ms   | 35170        | 260.518518518519    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_09  | 135         | 17248       | 0.70 ms   | 35170        | 260.518518518519    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_10  | 702         | 24366       | 0.88 ms   | 44235        | 63.0128205128205    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_100 | 257         | 18775       | 0.74 ms   | 37243        | 144.91439688716     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_101 | 247         | 18521       | 0.74 ms   | 36805        | 149.008097165992    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_102 | 249         | 18572       | 0.74 ms   | 37006        | 148.618473895582    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_103 | 255         | 18710       | 0.74 ms   | 37166        | 145.749019607843    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_104 | 254         | 18706       | 0.74 ms   | 37163        | 146.311023622047    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_105 | 251         | 18637       | 0.74 ms   | 37083        | 147.741035856574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_106 | 255         | 18710       | 0.74 ms   | 37166        | 145.749019607843    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_107 | 250         | 18590       | 0.74 ms   | 37027        | 148.108             |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_108 | 254         | 18706       | 0.74 ms   | 37163        | 146.311023622047    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_109 | 254         | 18706       | 0.74 ms   | 37163        | 146.311023622047    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_11  | 706         | 24146       | 0.88 ms   | 43972        | 62.2832861189802    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_110 | 1467        | 37028       | 1.20 ms   | 60004        | 40.9025221540559    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_111 | 1473        | 36517       | 1.19 ms   | 59402        | 40.3272233536999    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_112 | 1508        | 36673       | 1.19 ms   | 59575        | 39.5059681697613    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_113 | 1469        | 36283       | 1.18 ms   | 59120        | 40.2450646698434    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_114 | 1481        | 37038       | 1.20 ms   | 60037        | 40.5381498987171    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_115 | 1465        | 36562       | 1.19 ms   | 59453        | 40.582252559727     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_116 | 1477        | 36750       | 1.19 ms   | 59691        | 40.4136763710223    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_117 | 1471        | 36611       | 1.19 ms   | 59499        | 40.4479945615228    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_118 | 1491        | 37416       | 1.21 ms   | 60475        | 40.5600268276325    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_119 | 1500        | 37299       | 1.21 ms   | 60349        | 40.2326666666667    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_12  | 696         | 24033       | 0.88 ms   | 43835        | 62.9813218390805    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_120 | 1017        | 28915       | 1.00 ms   | 49934        | 49.0993117010816    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_121 | 1049        | 29719       | 1.02 ms   | 50921        | 48.5424213536702    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_122 | 1051        | 29250       | 1.01 ms   | 50356        | 47.9124643196955    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_123 | 1084        | 29580       | 1.02 ms   | 50752        | 46.8191881918819    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_124 | 1064        | 29236       | 1.01 ms   | 50343        | 47.3148496240602    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_125 | 1047        | 29888       | 1.02 ms   | 51133        | 48.8376313276027    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_126 | 1037        | 29637       | 1.02 ms   | 50823        | 49.0096432015429    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_127 | 1016        | 28831       | 1.00 ms   | 49823        | 49.0383858267717    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_128 | 1036        | 29851       | 1.02 ms   | 51075        | 49.3001930501931    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_129 | 1037        | 29393       | 1.01 ms   | 50533        | 48.7299903567985    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_13  | 689         | 24096       | 0.88 ms   | 43916        | 63.7387518142235    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_130 | 699         | 24422       | 0.89 ms   | 44306        | 63.3848354792561    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_131 | 690         | 24189       | 0.88 ms   | 44019        | 63.795652173913     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_132 | 694         | 24243       | 0.88 ms   | 44091        | 63.5317002881844    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_133 | 705         | 24278       | 0.88 ms   | 44130        | 62.5957446808511    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_134 | 704         | 24151       | 0.88 ms   | 43981        | 62.4730113636364    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_135 | 699         | 23975       | 0.88 ms   | 43774        | 62.623748211731     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_136 | 700         | 24081       | 0.88 ms   | 43892        | 62.7028571428571    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_137 | 698         | 24289       | 0.88 ms   | 44144        | 63.243553008596     |* 
*|************|*************|*************|***********|**************|*********************|* 
