*|************|*************|*************|***********|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|*********************|* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_00  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_01  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_02  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_03  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_04  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_05  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_06  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_07  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_08  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_09  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_10  | 42          | 16409       | 0.67 ms   | 33284        | 792.47619047619     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_100 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_101 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_102 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_103 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_104 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_105 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_106 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_107 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_108 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_109 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_11  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_110 | 64          | 16510       | 0.67 ms   | 33508        | 523.5625            |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_111 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_112 | 51          | 16443       | 0.67 ms   | 33405        | 655                 |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_113 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_114 | 64          | 16510       | 0.67 ms   | 33508        | 523.5625            |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_115 | 64          | 16512       | 0.67 ms   | 33500        | 523.4375            |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_116 | 51          | 16443       | 0.67 ms   | 33405        | 655                 |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_117 | 51          | 16443       | 0.67 ms   | 33405        | 655                 |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_118 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_119 | 51          | 16441       | 0.67 ms   | 33393        | 654.764705882353    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_12  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_120 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_121 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_122 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_123 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_124 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_125 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_126 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_127 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_128 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_129 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_13  | 29          | 16342       | 0.66 ms   | 33171        | 1143.8275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_130 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_131 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_132 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_133 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_134 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_135 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_136 | 71          | 16538       | 0.67 ms   | 33543        | 472.43661971831     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_137 | 58          | 16467       | 0.67 ms   | 33436        | 576.48275862069     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_138 | 71          | 16536       | 0.67 ms   | 33551        | 472.549295774648    |* 
*|************|*************|*************|***********|**************|*********************|* 
