*|************|*************|*************|***********|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|*********************|* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_00  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_01  | 165         | 17542       | 0.74104   | 37052        | 224.557575757576    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_02  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_03  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_04  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_05  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_06  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_07  | 165         | 17542       | 0.74104   | 37052        | 224.557575757576    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_08  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_09  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_10  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_100 | 634         | 22640       | 1.19488   | 59744        | 94.2334384858044    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_101 | 623         | 22374       | 1.18866   | 59433        | 95.3980738362761    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_102 | 627         | 22446       | 1.19036   | 59518        | 94.9250398724083    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_103 | 623         | 22434       | 1.19      | 59500        | 95.5056179775281    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_104 | 625         | 22460       | 1.19044   | 59522        | 95.2352             |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_105 | 622         | 22348       | 1.18794   | 59397        | 95.4935691318328    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_106 | 628         | 22513       | 1.19186   | 59593        | 94.8933121019108    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_107 | 632         | 22602       | 1.19408   | 59704        | 94.4683544303797    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_108 | 638         | 22742       | 1.19734   | 59867        | 93.8354231974922    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_109 | 618         | 22244       | 1.18546   | 59273        | 95.911003236246     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_11  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_110 | 439         | 20274       | 0.81146   | 40573        | 92.4214123006834    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_111 | 429         | 20049       | 0.80594   | 40297        | 93.9324009324009    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_112 | 440         | 20275       | 0.81136   | 40568        | 92.2                |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_113 | 436         | 20189       | 0.80936   | 40468        | 92.8165137614679    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_114 | 429         | 20065       | 0.80636   | 40318        | 93.981351981352     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_115 | 437         | 20253       | 0.81094   | 40547        | 92.7848970251716    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_116 | 448         | 20437       | 0.81534   | 40767        | 90.9977678571429    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_117 | 443         | 20345       | 0.81312   | 40656        | 91.7742663656885    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_118 | 446         | 20410       | 0.81464   | 40732        | 91.3273542600897    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_119 | 431         | 20107       | 0.80732   | 40366        | 93.6566125290023    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_12  | 165         | 17542       | 0.74104   | 37052        | 224.557575757576    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_120 | 620         | 22362       | 1.18826   | 59413        | 95.8274193548387    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_121 | 622         | 22397       | 1.18894   | 59447        | 95.5739549839228    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_122 | 624         | 22420       | 1.18972   | 59486        | 95.3301282051282    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_123 | 624         | 22475       | 1.19098   | 59549        | 95.4310897435897    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_124 | 617         | 22250       | 1.18544   | 59272        | 96.064829821718     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_125 | 613         | 22180       | 1.1841    | 59205        | 96.5823817292006    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_126 | 621         | 22319       | 1.18726   | 59363        | 95.5925925925926    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_127 | 617         | 22232       | 1.18498   | 59249        | 96.0275526742302    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_128 | 615         | 22265       | 1.18578   | 59289        | 96.4048780487805    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_129 | 617         | 22240       | 1.18528   | 59264        | 96.0518638573744    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_13  | 162         | 17477       | 0.73694   | 36847        | 227.450617283951    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_130 | 442         | 20318       | 0.8124    | 40620        | 91.9004524886878    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_131 | 441         | 20328       | 0.81252   | 40626        | 92.1224489795918    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_132 | 435         | 20167       | 0.80864   | 40432        | 92.9471264367816    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_133 | 441         | 20312       | 0.8121    | 40605        | 92.0748299319728    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_134 | 433         | 20171       | 0.80894   | 40447        | 93.4110854503464    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_135 | 436         | 20226       | 0.81038   | 40519        | 92.9334862385321    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_136 | 444         | 20403       | 0.81438   | 40719        | 91.7094594594595    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_137 | 440         | 20280       | 0.81144   | 40572        | 92.2090909090909    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_138 | 441         | 20312       | 0.8121    | 40605        | 92.0748299319728    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_139 | 432         | 20166       | 0.80882   | 40441        | 93.6134259259259    |* 
*|************|*************|*************|***********|**************|*********************|* 
