*|************|*************|*************|***********|**************|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Expected Ass | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_00  | 29          | 326         | 0.000496  | 5868         | 5952         | 205.241379310345    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_01  | 29          | 326         | 0.000496  | 5868         | 5952         | 205.241379310345    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_02  | 29          | 326         | 0.000496  | 5868         | 5952         | 205.241379310345    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_03  | 29          | 326         | 0.000496  | 5868         | 5952         | 205.241379310345    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_04  | 29          | 326         | 0.000496  | 5868         | 5952         | 205.241379310345    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_05  | 29          | 326         | 0.000496  | 5868         | 5952         | 205.241379310345    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_06  | 29          | 326         | 0.000496  | 5868         | 5952         | 205.241379310345    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_07  | 29          | 326         | 0.000496  | 5868         | 5952         | 205.241379310345    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_08  | 29          | 326         | 0.000496  | 5868         | 5952         | 205.241379310345    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_09  | 29          | 326         | 0.000496  | 5868         | 5952         | 205.241379310345    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_10  | 66          | 513         | 0.000753  | 9234         | 9036         | 136.909090909091    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_100 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_101 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_102 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_103 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_104 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_105 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_106 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_107 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_108 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_109 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_11  | 66          | 513         | 0.000753  | 9234         | 9036         | 136.909090909091    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_110 | 51          | 388         | 0.000594  | 6984         | 7128         | 139.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_111 | 51          | 388         | 0.000594  | 6984         | 7128         | 139.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_112 | 51          | 388         | 0.000594  | 6984         | 7128         | 139.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_113 | 51          | 388         | 0.000594  | 6984         | 7128         | 139.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_114 | 51          | 388         | 0.000594  | 6984         | 7128         | 139.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_115 | 51          | 388         | 0.000594  | 6984         | 7128         | 139.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_116 | 51          | 388         | 0.000594  | 6984         | 7128         | 139.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_117 | 51          | 388         | 0.000594  | 6984         | 7128         | 139.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_118 | 51          | 388         | 0.000594  | 6984         | 7128         | 139.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_119 | 51          | 388         | 0.000594  | 6984         | 7128         | 139.764705882353    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_12  | 66          | 513         | 0.000753  | 9234         | 9036         | 136.909090909091    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_120 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_121 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_122 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_123 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_124 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_125 | 47          | 434         | 0.00064   | 7812         | 7680         | 163.404255319149    |* 
