*|************|*************|*************|***********|**************|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Expected Ass | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_00  | 202         | 768         | 0.001063  | 13824        | 12756        | 63.1485148514851    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_01  | 202         | 768         | 0.001063  | 13824        | 12756        | 63.1485148514851    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_02  | 202         | 768         | 0.001063  | 13824        | 12756        | 63.1485148514851    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_03  | 203         | 784         | 0.001081  | 14112        | 12972        | 63.9014778325123    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_04  | 202         | 768         | 0.001063  | 13824        | 12756        | 63.1485148514851    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_05  | 202         | 768         | 0.001063  | 13824        | 12756        | 63.1485148514851    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_06  | 202         | 768         | 0.001063  | 13824        | 12756        | 63.1485148514851    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_07  | 203         | 784         | 0.001081  | 14112        | 12972        | 63.9014778325123    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_08  | 202         | 768         | 0.001063  | 13824        | 12756        | 63.1485148514851    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_09  | 202         | 768         | 0.001063  | 13824        | 12756        | 63.1485148514851    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_10  | 5235        | 21752       | 0.031316  | 391536       | 375792       | 71.7845272206304    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_100 | 460         | 1732        | 0.002526  | 31176        | 30312        | 65.895652173913     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_101 | 460         | 1732        | 0.002526  | 31176        | 30312        | 65.895652173913     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_102 | 449         | 1699        | 0.002481  | 30582        | 29772        | 66.3073496659243    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_103 | 459         | 1716        | 0.002508  | 30888        | 30096        | 65.5686274509804    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_104 | 460         | 1732        | 0.002526  | 31176        | 30312        | 65.895652173913     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_105 | 455         | 1718        | 0.002507  | 30924        | 30084        | 66.1186813186813    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_106 | 443         | 1669        | 0.002444  | 30042        | 29328        | 66.2031602708804    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_107 | 449         | 1699        | 0.002481  | 30582        | 29772        | 66.3073496659243    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_108 | 450         | 1715        | 0.002499  | 30870        | 29988        | 66.64               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_109 | 442         | 1653        | 0.002426  | 29754        | 29112        | 65.8642533936652    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_11  | 5197        | 21683       | 0.031216  | 390294       | 374592       | 72.078506830864     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_110 | 3172        | 12858       | 0.018523  | 231444       | 222276       | 70.0744010088272    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_111 | 3199        | 12949       | 0.018638  | 233082       | 223656       | 69.9143482338231    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_112 | 3140        | 12762       | 0.018386  | 229716       | 220632       | 70.2649681528662    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_113 | 3153        | 12807       | 0.018449  | 230526       | 221388       | 70.2150333016175    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_114 | 3195        | 12929       | 0.018615  | 232722       | 223380       | 69.9154929577465    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_115 | 3182        | 12875       | 0.018545  | 231750       | 222540       | 69.9371464487744    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_116 | 3220        | 12944       | 0.01865   | 232992       | 223800       | 69.5031055900621    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_117 | 3174        | 12813       | 0.018472  | 230634       | 221664       | 69.8374291115312    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_118 | 3176        | 12867       | 0.018535  | 231606       | 222420       | 70.0314861460957    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_119 | 3121        | 12702       | 0.018315  | 228636       | 219780       | 70.4197372636975    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_12  | 5286        | 21897       | 0.031513  | 394146       | 378156       | 71.539160045403     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_120 | 1784        | 7068        | 0.010191  | 127224       | 122292       | 68.5493273542601    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_121 | 1775        | 7023        | 0.010138  | 126414       | 121656       | 68.5385915492958    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_122 | 1803        | 7064        | 0.010205  | 127152       | 122460       | 67.9201331114809    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_123 | 1773        | 7033        | 0.010142  | 126594       | 121704       | 68.6429780033841    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_124 | 1858        | 7224        | 0.010417  | 130032       | 125004       | 67.2787944025834    |* 
