*|************|*************|*************|***********|**************|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Expected Ass | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_00  | 15          | 302         | 0.000463  | 5436         | 5556         | 370.4               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_01  | 15          | 302         | 0.000463  | 5436         | 5556         | 370.4               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_02  | 15          | 302         | 0.000463  | 5436         | 5556         | 370.4               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_03  | 15          | 302         | 0.000463  | 5436         | 5556         | 370.4               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_04  | 15          | 302         | 0.000463  | 5436         | 5556         | 370.4               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_05  | 15          | 302         | 0.000463  | 5436         | 5556         | 370.4               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_06  | 15          | 302         | 0.000463  | 5436         | 5556         | 370.4               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_07  | 15          | 302         | 0.000463  | 5436         | 5556         | 370.4               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_08  | 15          | 302         | 0.000463  | 5436         | 5556         | 370.4               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_09  | 15          | 302         | 0.000463  | 5436         | 5556         | 370.4               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_10  | 38          | 609         | 0.00094   | 10962        | 11280        | 296.842105263158    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_100 | 59          | 921         | 0.001426  | 16578        | 17112        | 290.033898305085    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_101 | 59          | 921         | 0.001426  | 16578        | 17112        | 290.033898305085    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_102 | 59          | 921         | 0.001426  | 16578        | 17112        | 290.033898305085    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_103 | 59          | 921         | 0.001426  | 16578        | 17112        | 290.033898305085    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_104 | 59          | 921         | 0.001426  | 16578        | 17112        | 290.033898305085    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_105 | 59          | 921         | 0.001426  | 16578        | 17112        | 290.033898305085    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_106 | 59          | 921         | 0.001426  | 16578        | 17112        | 290.033898305085    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_107 | 59          | 921         | 0.001426  | 16578        | 17112        | 290.033898305085    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_108 | 59          | 921         | 0.001426  | 16578        | 17112        | 290.033898305085    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_109 | 59          | 921         | 0.001426  | 16578        | 17112        | 290.033898305085    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_11  | 38          | 609         | 0.00094   | 10962        | 11280        | 296.842105263158    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_110 | 47          | 687         | 0.001056  | 12366        | 12672        | 269.617021276596    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_111 | 47          | 687         | 0.001056  | 12366        | 12672        | 269.617021276596    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_112 | 47          | 687         | 0.001056  | 12366        | 12672        | 269.617021276596    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_113 | 47          | 687         | 0.001056  | 12366        | 12672        | 269.617021276596    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_114 | 47          | 687         | 0.001056  | 12366        | 12672        | 269.617021276596    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_115 | 47          | 687         | 0.001056  | 12366        | 12672        | 269.617021276596    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_116 | 47          | 687         | 0.001056  | 12366        | 12672        | 269.617021276596    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_117 | 47          | 687         | 0.001056  | 12366        | 12672        | 269.617021276596    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_118 | 47          | 687         | 0.001056  | 12366        | 12672        | 269.617021276596    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_119 | 47          | 687         | 0.001056  | 12366        | 12672        | 269.617021276596    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_12  | 38          | 609         | 0.00094   | 10962        | 11280        | 296.842105263158    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_120 | 15          | 310         | 0.000479  | 5580         | 5748         | 383.2               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_121 | 15          | 310         | 0.000479  | 5580         | 5748         | 383.2               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_122 | 15          | 310         | 0.000479  | 5580         | 5748         | 383.2               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_123 | 15          | 310         | 0.000479  | 5580         | 5748         | 383.2               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_124 | 15          | 310         | 0.000479  | 5580         | 5748         | 383.2               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_125 | 15          | 310         | 0.000479  | 5580         | 5748         | 383.2               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_126 | 15          | 310         | 0.000479  | 5580         | 5748         | 383.2               |* 
