*|************|*************|*************|***********|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|*********************|* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_00  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_01  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_02  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_03  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_04  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_05  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_06  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_07  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_08  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_09  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_10  | 38          | 16659       | 0.67408   | 33704        | 886.947368421053    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_100 | 59          | 17028       | 0.6835    | 34175        | 579.237288135593    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_101 | 59          | 17028       | 0.6835    | 34175        | 579.237288135593    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_102 | 59          | 17028       | 0.6835    | 34175        | 579.237288135593    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_103 | 59          | 17028       | 0.6835    | 34175        | 579.237288135593    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_104 | 59          | 17028       | 0.6835    | 34175        | 579.237288135593    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_105 | 59          | 17028       | 0.6835    | 34175        | 579.237288135593    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_106 | 59          | 17028       | 0.6835    | 34175        | 579.237288135593    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_107 | 59          | 17028       | 0.6835    | 34175        | 579.237288135593    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_108 | 59          | 17028       | 0.6835    | 34175        | 579.237288135593    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_109 | 59          | 17028       | 0.6835    | 34175        | 579.237288135593    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_11  | 38          | 16659       | 0.67408   | 33704        | 886.947368421053    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_110 | 47          | 16708       | 0.67558   | 33779        | 718.702127659574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_111 | 47          | 16708       | 0.67558   | 33779        | 718.702127659574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_112 | 47          | 16708       | 0.67558   | 33779        | 718.702127659574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_113 | 47          | 16708       | 0.67558   | 33779        | 718.702127659574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_114 | 47          | 16708       | 0.67558   | 33779        | 718.702127659574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_115 | 47          | 16708       | 0.67558   | 33779        | 718.702127659574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_116 | 47          | 16708       | 0.67558   | 33779        | 718.702127659574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_117 | 47          | 16708       | 0.67558   | 33779        | 718.702127659574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_118 | 47          | 16708       | 0.67558   | 33779        | 718.702127659574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_119 | 47          | 16708       | 0.67558   | 33779        | 718.702127659574    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_12  | 38          | 16659       | 0.67408   | 33704        | 886.947368421053    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_120 | 15          | 16281       | 0.65766   | 32883        | 2192.2              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_121 | 15          | 16281       | 0.65766   | 32883        | 2192.2              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_122 | 15          | 16281       | 0.65766   | 32883        | 2192.2              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_123 | 15          | 16281       | 0.65766   | 32883        | 2192.2              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_124 | 15          | 16281       | 0.65766   | 32883        | 2192.2              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_125 | 15          | 16281       | 0.65766   | 32883        | 2192.2              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_126 | 15          | 16281       | 0.65766   | 32883        | 2192.2              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_127 | 15          | 16281       | 0.65766   | 32883        | 2192.2              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_128 | 15          | 16281       | 0.65766   | 32883        | 2192.2              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_129 | 15          | 16281       | 0.65766   | 32883        | 2192.2              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_13  | 38          | 16659       | 0.67408   | 33704        | 886.947368421053    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_130 | 161         | 19166       | 0.73624   | 36812        | 228.645962732919    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_131 | 161         | 19166       | 0.73624   | 36812        | 228.645962732919    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_132 | 161         | 19115       | 0.73602   | 36801        | 228.577639751553    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_133 | 161         | 19149       | 0.7367    | 36835        | 228.788819875776    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_134 | 161         | 19166       | 0.73624   | 36812        | 228.645962732919    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_135 | 161         | 19166       | 0.73624   | 36812        | 228.645962732919    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_136 | 161         | 19166       | 0.73624   | 36812        | 228.645962732919    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_137 | 161         | 19064       | 0.735     | 36750        | 228.260869565217    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_138 | 161         | 19166       | 0.73624   | 36812        | 228.645962732919    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_139 | 161         | 19132       | 0.73636   | 36818        | 228.683229813665    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_14  | 38          | 16659       | 0.67408   | 33704        | 886.947368421053    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_140 | 113         | 17870       | 0.70488   | 35244        | 311.893805309734    |* 
