*|************|*************|*************|***********|**************|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Expected Ass | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_00  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_01  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_02  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_03  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_04  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_05  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_06  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_07  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_08  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_09  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_10  | 275         | 1779        | 0.002585  | 32022        | 31020        | 112.8               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_100 | 2335        | 14631       | 0.020793  | 263358       | 249516       | 106.859100642398    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_101 | 2329        | 14757       | 0.02097   | 265626       | 251640       | 108.046371833405    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_102 | 2322        | 14965       | 0.021268  | 269370       | 255216       | 109.912144702842    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_103 | 2307        | 15265       | 0.021688  | 274770       | 260256       | 112.81144343303     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_104 | 2326        | 14859       | 0.021117  | 267462       | 253404       | 108.944110060189    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_105 | 2311        | 15195       | 0.021591  | 273510       | 259092       | 112.112505408914    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_106 | 2308        | 15237       | 0.021648  | 274266       | 259776       | 112.554592720971    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_107 | 2320        | 14967       | 0.021267  | 269406       | 255204       | 110.001724137931    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_108 | 2309        | 15221       | 0.021626  | 273978       | 259512       | 112.39151147683     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_109 | 2322        | 14917       | 0.021196  | 268506       | 254352       | 109.540051679587    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_11  | 276         | 1751        | 0.002545  | 31518        | 30540        | 110.652173913043    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_110 | 3529        | 23878       | 0.033885  | 429804       | 406620       | 115.222442618305    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_111 | 3533        | 23784       | 0.033752  | 428112       | 405024       | 114.640249080102    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_112 | 3541        | 23620       | 0.033522  | 425160       | 402264       | 113.60180739904     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_113 | 3532        | 23842       | 0.033837  | 429156       | 406044       | 114.961494903737    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_114 | 3535        | 23758       | 0.033717  | 427644       | 404604       | 114.45657708628     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_115 | 3541        | 23614       | 0.033513  | 425052       | 402156       | 113.571307540243    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_116 | 3537        | 23732       | 0.033682  | 427176       | 404184       | 114.273112807464    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_117 | 3535        | 23782       | 0.033753  | 428076       | 405036       | 114.578783592645    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_118 | 3530        | 23880       | 0.03389   | 429840       | 406680       | 115.206798866856    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_119 | 3529        | 23884       | 0.033894  | 429912       | 406728       | 115.253046188722    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_12  | 275         | 1785        | 0.002594  | 32130        | 31128        | 113.192727272727    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_120 | 2610        | 17353       | 0.024634  | 312354       | 295608       | 113.259770114943    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_121 | 2610        | 17359       | 0.024643  | 312462       | 295716       | 113.301149425287    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_122 | 2609        | 17363       | 0.024647  | 312534       | 295764       | 113.362974319663    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_123 | 2609        | 17423       | 0.024737  | 313614       | 296844       | 113.776926025297    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_124 | 2609        | 17387       | 0.024683  | 312966       | 296196       | 113.528555001916    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_125 | 2607        | 17425       | 0.024736  | 313650       | 296832       | 113.859608745685    |* 
