*|************|*************|*************|***********|**************|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Expected Ass | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_00  | 24          | 448         | 0.000708  | 8064         | 8496         | 354                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_01  | 24          | 448         | 0.000708  | 8064         | 8496         | 354                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_02  | 24          | 448         | 0.000708  | 8064         | 8496         | 354                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_03  | 24          | 448         | 0.000708  | 8064         | 8496         | 354                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_04  | 24          | 448         | 0.000708  | 8064         | 8496         | 354                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_05  | 24          | 448         | 0.000708  | 8064         | 8496         | 354                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_06  | 24          | 448         | 0.000708  | 8064         | 8496         | 354                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_07  | 24          | 448         | 0.000708  | 8064         | 8496         | 354                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_08  | 24          | 448         | 0.000708  | 8064         | 8496         | 354                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_09  | 24          | 448         | 0.000708  | 8064         | 8496         | 354                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_10  | 58          | 1052        | 0.001635  | 18936        | 19620        | 338.275862068966    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_100 | 108         | 1885        | 0.002863  | 33930        | 34356        | 318.111111111111    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_101 | 98          | 1799        | 0.002743  | 32382        | 32916        | 335.877551020408    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_102 | 108         | 1885        | 0.002863  | 33930        | 34356        | 318.111111111111    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_103 | 108         | 1885        | 0.002863  | 33930        | 34356        | 318.111111111111    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_104 | 132         | 2392        | 0.003656  | 43056        | 43872        | 332.363636363636    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_105 | 132         | 2399        | 0.003661  | 43182        | 43932        | 332.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_106 | 132         | 2399        | 0.003661  | 43182        | 43932        | 332.818181818182    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_107 | 110         | 1936        | 0.002926  | 34848        | 35112        | 319.2               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_108 | 132         | 2392        | 0.003656  | 43056        | 43872        | 332.363636363636    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_109 | 108         | 1913        | 0.002898  | 34434        | 34776        | 322                 |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_11  | 58          | 1052        | 0.001635  | 18936        | 19620        | 338.275862068966    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_110 | 60          | 1114        | 0.001716  | 20052        | 20592        | 343.2               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_111 | 94          | 1693        | 0.002609  | 30474        | 31308        | 333.063829787234    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_112 | 72          | 1251        | 0.001899  | 22518        | 22788        | 316.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_113 | 94          | 1693        | 0.002609  | 30474        | 31308        | 333.063829787234    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_114 | 60          | 1114        | 0.001716  | 20052        | 20592        | 343.2               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_115 | 94          | 1707        | 0.002624  | 30726        | 31488        | 334.978723404255    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_116 | 94          | 1693        | 0.002609  | 30474        | 31308        | 333.063829787234    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_117 | 72          | 1251        | 0.001899  | 22518        | 22788        | 316.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_118 | 94          | 1714        | 0.002634  | 30852        | 31608        | 336.255319148936    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_119 | 94          | 1707        | 0.002624  | 30726        | 31488        | 334.978723404255    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_12  | 58          | 1073        | 0.00166   | 19314        | 19920        | 343.448275862069    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_120 | 58          | 1073        | 0.00166   | 19314        | 19920        | 343.448275862069    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_121 | 58          | 1073        | 0.00166   | 19314        | 19920        | 343.448275862069    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_122 | 58          | 1052        | 0.001635  | 18936        | 19620        | 338.275862068966    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_123 | 58          | 1073        | 0.00166   | 19314        | 19920        | 343.448275862069    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_124 | 58          | 1052        | 0.001635  | 18936        | 19620        | 338.275862068966    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_125 | 58          | 1052        | 0.001635  | 18936        | 19620        | 338.275862068966    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
