*|************|*************|*************|***********|**************|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Expected Ass | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_00  | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_01  | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_02  | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_03  | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_04  | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_05  | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_06  | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_07  | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_08  | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_09  | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_10  | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_100 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_101 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_102 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_103 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_104 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_105 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_106 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_107 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_108 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_109 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_11  | 56          | 668         | 0.000981  | 12024        | 11772        | 210.214285714286    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_110 | 54          | 672         | 0.000985  | 12096        | 11820        | 218.888888888889    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_111 | 56          | 663         | 0.000971  | 11934        | 11652        | 208.071428571429    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_112 | 55          | 642         | 0.000941  | 11556        | 11292        | 205.309090909091    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_113 | 54          | 644         | 0.000943  | 11592        | 11316        | 209.555555555556    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_114 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_115 | 55          | 642         | 0.000941  | 11556        | 11292        | 205.309090909091    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_116 | 56          | 663         | 0.000971  | 11934        | 11652        | 208.071428571429    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_117 | 56          | 657         | 0.000963  | 11826        | 11556        | 206.357142857143    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_118 | 55          | 645         | 0.000945  | 11610        | 11340        | 206.181818181818    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_119 | 56          | 644         | 0.000945  | 11592        | 11340        | 202.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_12  | 55          | 645         | 0.000945  | 11610        | 11340        | 206.181818181818    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_120 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_121 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_122 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_123 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_124 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_125 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_126 | 16          | 293         | 0.000446  | 5274         | 5352         | 334.5               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
