*|************|*************|*************|***********|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|*********************|* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_00  | 16          | 16279       | 0.66 ms   | 32879        | 2054.9375           |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_01  | 16          | 16279       | 0.66 ms   | 32879        | 2054.9375           |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_02  | 16          | 16279       | 0.66 ms   | 32879        | 2054.9375           |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_03  | 16          | 16279       | 0.66 ms   | 32879        | 2054.9375           |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_04  | 16          | 16279       | 0.66 ms   | 32879        | 2054.9375           |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_05  | 16          | 16279       | 0.66 ms   | 32879        | 2054.9375           |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_06  | 16          | 16279       | 0.66 ms   | 32879        | 2054.9375           |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_07  | 16          | 16279       | 0.66 ms   | 32879        | 2054.9375           |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_08  | 16          | 16279       | 0.66 ms   | 32879        | 2054.9375           |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_09  | 16          | 16279       | 0.66 ms   | 32879        | 2054.9375           |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_10  | 113         | 17005       | 0.68 ms   | 34125        | 301.991150442478    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_100 | 795         | 22763       | 0.83 ms   | 41421        | 52.1018867924528    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_101 | 799         | 22779       | 0.83 ms   | 41445        | 51.8710888610763    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_102 | 788         | 22735       | 0.83 ms   | 41379        | 52.511421319797     |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_103 | 802         | 22791       | 0.83 ms   | 41465        | 51.7019950124688    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_104 | 792         | 22751       | 0.83 ms   | 41403        | 52.2765151515151    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_105 | 790         | 22743       | 0.83 ms   | 41393        | 52.3962025316456    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_106 | 797         | 22771       | 0.83 ms   | 41435        | 51.9887076537014    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_107 | 792         | 22751       | 0.83 ms   | 41403        | 52.2765151515151    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_108 | 791         | 22747       | 0.83 ms   | 41399        | 52.3375474083439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_109 | 796         | 22767       | 0.83 ms   | 41429        | 52.0464824120603    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_11  | 113         | 17005       | 0.68 ms   | 34127        | 302.008849557522    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_110 | 3070        | 42845       | 1.33 ms   | 66622        | 21.7009771986971    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_111 | 3068        | 42837       | 1.33 ms   | 66610        | 21.7112125162973    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_112 | 3062        | 42813       | 1.33 ms   | 66574        | 21.7419986936643    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_113 | 3084        | 42901       | 1.33 ms   | 66706        | 21.6297016861219    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_114 | 3073        | 42857       | 1.33 ms   | 66638        | 21.6849983729255    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_115 | 3073        | 42857       | 1.33 ms   | 66640        | 21.6856492027335    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_116 | 3061        | 42809       | 1.33 ms   | 66568        | 21.7471414570402    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_117 | 3073        | 42857       | 1.33 ms   | 66640        | 21.6856492027335    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_118 | 3087        | 42913       | 1.33 ms   | 66724        | 21.6145124716553    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_119 | 3062        | 42813       | 1.33 ms   | 66572        | 21.7413455258001    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_12  | 109         | 16989       | 0.68 ms   | 34101        | 312.853211009174    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_120 | 182         | 17576       | 0.70 ms   | 34851        | 191.489010989011    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_121 | 186         | 17592       | 0.70 ms   | 34875        | 187.5               |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_122 | 183         | 17580       | 0.70 ms   | 34857        | 190.475409836066    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_123 | 181         | 17572       | 0.70 ms   | 34845        | 192.513812154696    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_124 | 186         | 17592       | 0.70 ms   | 34877        | 187.510752688172    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_125 | 184         | 17584       | 0.70 ms   | 34863        | 189.472826086957    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_126 | 184         | 17584       | 0.70 ms   | 34863        | 189.472826086957    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_127 | 186         | 17592       | 0.70 ms   | 34877        | 187.510752688172    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_128 | 187         | 17596       | 0.70 ms   | 34881        | 186.529411764706    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_129 | 185         | 17588       | 0.70 ms   | 34871        | 188.491891891892    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_13  | 112         | 17001       | 0.68 ms   | 34121        | 304.651785714286    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_130 | 2914        | 41454       | 1.30 ms   | 64879        | 22.2645847632121    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_131 | 2908        | 41430       | 1.30 ms   | 64845        | 22.2988308115543    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_132 | 2928        | 41510       | 1.30 ms   | 64963        | 22.1868169398907    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_133 | 2919        | 41474       | 1.30 ms   | 64911        | 22.2374100719424    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_134 | 2914        | 41454       | 1.30 ms   | 64881        | 22.2652711050103    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_135 | 2913        | 41450       | 1.30 ms   | 64875        | 22.2708547888774    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_136 | 2926        | 41502       | 1.30 ms   | 64953        | 22.1985645933014    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_137 | 2904        | 41414       | 1.30 ms   | 64821        | 22.3212809917355    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_138 | 2913        | 41450       | 1.30 ms   | 64875        | 22.2708547888774    |* 
