;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_S
1;8051;binarysearch;int8_t;-127.0;254.0;3
2;8051;binarysearch;int16_t;-32766.0;65532.0;3
3;8051;binarysearch;int32_t;-2147483640.0;4294967280.0;3
4;8051;binarysearch;float;-2147483640.0;4294967280.0;3
5;atmega328;binarysearch;int8_t;-127.0;254.0;3
6;atmega328;binarysearch;int16_t;-32766.0;65532.0;3
7;atmega328;binarysearch;int32_t;-2147483640.0;4294967280.0;3
8;atmega328;binarysearch;float;-2147483640.0;4294967280.0;3
9;leon3;binarysearch;int8_t;-127.0;254.0;3
10;leon3;binarysearch;int16_t;-32766.0;65532.0;3
11;leon3;binarysearch;int32_t;-2147483640.0;4294967280.0;3
12;leon3;binarysearch;float;-2147483640.0;4294967280.0;3
