;DEVICE;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_SI
1;8051;insertionsort;int8_t;2.0;108.0;1
2;8051;insertionsort;int16_t;2.0;48.0;1
3;8051;insertionsort;int32_t;2.0;18.0;1
4;8051;insertionsort;float;2.0;8.0;1
5;atmega328p;insertionsort;int8_t;2.0;125.0;1
6;atmega328p;insertionsort;int16_t;2.0;248.0;1
7;atmega328p;insertionsort;int32_t;2.0;118.0;1
8;atmega328p;insertionsort;float;2.0;48.0;1
9;leon3;insertionsort;int8_t;2.0;125.0;1
10;leon3;insertionsort;int16_t;2.0;248.0;1
11;leon3;insertionsort;int32_t;2.0;118.0;1
12;leon3;insertionsort;float;2.0;48.0;1
13;8051;dijkstra;int8_t;2.0;7.0;1
14;8051;dijkstra;int16_t;2.0;4.0;1
15;8051;dijkstra;int32_t;2.0;3.0;1
16;8051;dijkstra;float;2.0;1.0;1
17;atmega328p;dijkstra;int8_t;2.0;41.0;1
18;atmega328p;dijkstra;int16_t;2.0;28.0;1
19;atmega328p;dijkstra;int32_t;2.0;18.0;1
20;atmega328p;dijkstra;float;2.0;11.0;1
21;leon3;dijkstra;int8_t;2.0;43.0;1
22;leon3;dijkstra;int16_t;2.0;28.0;1
23;leon3;dijkstra;int32_t;2.0;19.0;1
24;leon3;dijkstra;float;2.0;12.0;1
25;8051;bellmanford;int8_t;2.0;8.0;1
26;8051;bellmanford;int16_t;2.0;5.0;1
27;8051;bellmanford;int32_t;2.0;2.0;1
28;8051;bellmanford;float;1.0;1.0;1
29;atmega328p;bellmanford;int8_t;2.0;33.0;1
30;atmega328p;bellmanford;int16_t;2.0;13.0;1
31;atmega328p;bellmanford;int32_t;2.0;8.0;1
32;atmega328p;bellmanford;float;2.0;3.0;1
33;leon3;bellmanford;int8_t;2.0;19.0;1
34;leon3;bellmanford;int16_t;2.0;13.0;1
35;leon3;bellmanford;int32_t;2.0;8.0;1
36;leon3;bellmanford;float;2.0;5.0;1
37;8051;mergesort;int8_t;2.0;53.0;1
38;8051;mergesort;int16_t;2.0;24.0;1
39;8051;mergesort;int32_t;2.0;6.0;1
40;8051;mergesort;float;1.0;1.0;1
41;atmega328p;mergesort;int8_t;2.0;58.0;1
42;atmega328p;mergesort;int16_t;2.0;88.0;1
43;atmega328p;mergesort;int32_t;2.0;55.0;1
44;atmega328p;mergesort;float;2.0;23.0;1
45;leon3;mergesort;int8_t;2.0;58.0;1
46;leon3;mergesort;int16_t;2.0;88.0;1
47;leon3;mergesort;int32_t;2.0;55.0;1
48;leon3;mergesort;float;2.0;23.0;1
49;8051;bubblesort;int8_t;2.0;38.0;1
50;8051;bubblesort;int16_t;2.0;29.0;1
51;8051;bubblesort;int32_t;2.0;19.0;1
52;8051;bubblesort;float;2.0;13.0;1
53;atmega328p;bubblesort;int8_t;2.0;125.0;1
54;atmega328p;bubblesort;int16_t;2.0;1008.0;1
55;atmega328p;bubblesort;int32_t;2.0;500.0;1
56;atmega328p;bubblesort;float;2.0;245.0;1
57;leon3;bubblesort;int8_t;2.0;125.0;1
58;leon3;bubblesort;int16_t;2.0;245.0;1
59;leon3;bubblesort;int32_t;2.0;117.0;1
60;leon3;bubblesort;float;2.0;53.0;1
61;8051;bfsdfs;int8_t;2.0;7.0;1
62;8051;bfsdfs;int16_t;2.0;3.0;1
63;8051;bfsdfs;int32_t;2.0;1.0;1
64;8051;bfsdfs;float;2.0;1.0;1
65;atmega328p;bfsdfs;int8_t;2.0;19.0;1
66;atmega328p;bfsdfs;int16_t;2.0;13.0;1
67;atmega328p;bfsdfs;int32_t;2.0;8.0;1
68;atmega328p;bfsdfs;float;2.0;5.0;1
69;leon3;bfsdfs;int8_t;2.0;19.0;1
70;leon3;bfsdfs;int16_t;2.0;13.0;1
71;leon3;bfsdfs;int32_t;2.0;8.0;1
72;leon3;bfsdfs;float;2.0;5.0;1
73;8051;kruskal;int8_t;2.0;8.0;1
74;8051;kruskal;int16_t;2.0;4.0;1
75;8051;kruskal;int32_t;2.0;2.0;1
76;8051;kruskal;float;2.0;2.0;1
77;atmega328p;kruskal;int8_t;2.0;43.0;1
78;atmega328p;kruskal;int16_t;2.0;29.0;1
79;atmega328p;kruskal;int32_t;2.0;19.0;1
80;atmega328p;kruskal;float;2.0;13.0;1
81;leon3;kruskal;int8_t;2.0;19.0;1
82;leon3;kruskal;int16_t;2.0;13.0;1
83;leon3;kruskal;int32_t;2.0;8.0;1
84;leon3;kruskal;float;2.0;4.0;1
85;8051;binarysearch;int8_t;2.0;98.0;1
86;8051;binarysearch;int16_t;2.0;52.0;1
