*|************|*************|*************|***********|**************|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Expected Ass | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_00  | 165         | 871         | 0.001153  | 15678        | 13836        | 83.8545454545455    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_01  | 162         | 850         | 0.001128  | 15300        | 13536        | 83.5555555555556    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_02  | 165         | 871         | 0.001153  | 15678        | 13836        | 83.8545454545455    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_03  | 165         | 871         | 0.001153  | 15678        | 13836        | 83.8545454545455    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_04  | 165         | 871         | 0.001153  | 15678        | 13836        | 83.8545454545455    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_05  | 162         | 850         | 0.001128  | 15300        | 13536        | 83.5555555555556    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_06  | 165         | 871         | 0.001153  | 15678        | 13836        | 83.8545454545455    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_07  | 165         | 871         | 0.001153  | 15678        | 13836        | 83.8545454545455    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_08  | 162         | 850         | 0.001128  | 15300        | 13536        | 83.5555555555556    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_09  | 162         | 850         | 0.001128  | 15300        | 13536        | 83.5555555555556    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_10  | 1719        | 9880        | 0.012868  | 177840       | 154416       | 89.8289703315881    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_100 | 434         | 2324        | 0.00291   | 41832        | 34920        | 80.4608294930876    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_101 | 431         | 2302        | 0.002886  | 41436        | 34632        | 80.3526682134571    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_102 | 441         | 2360        | 0.002954  | 42480        | 35448        | 80.3809523809524    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_103 | 437         | 2334        | 0.002921  | 42012        | 35052        | 80.2105263157895    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_104 | 434         | 2314        | 0.0029    | 41652        | 34800        | 80.184331797235     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_105 | 430         | 2294        | 0.002878  | 41292        | 34536        | 80.3162790697674    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_106 | 441         | 2366        | 0.002961  | 42588        | 35532        | 80.5714285714286    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_107 | 434         | 2324        | 0.00291   | 41832        | 34920        | 80.4608294930876    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_108 | 432         | 2300        | 0.002879  | 41400        | 34548        | 79.9722222222222    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_109 | 438         | 2346        | 0.002935  | 42228        | 35220        | 80.4109589041096    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_11  | 1712        | 9842        | 0.012811  | 177156       | 153732       | 89.7967289719626    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_110 | 853         | 4729        | 0.006207  | 85122        | 74484        | 87.3200468933177    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_111 | 851         | 4713        | 0.006177  | 84834        | 74124        | 87.1022326674501    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_112 | 839         | 4647        | 0.006097  | 83646        | 73164        | 87.2038140643623    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_113 | 852         | 4726        | 0.006195  | 85068        | 74340        | 87.2535211267606    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_114 | 847         | 4686        | 0.006154  | 84348        | 73848        | 87.1877213695395    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_115 | 835         | 4592        | 0.006046  | 82656        | 72552        | 86.888622754491     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_116 | 844         | 4664        | 0.006129  | 83952        | 73548        | 87.1421800947867    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_117 | 851         | 4704        | 0.006174  | 84672        | 74088        | 87.0599294947121    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_118 | 847         | 4674        | 0.00614   | 84132        | 73680        | 86.9893742621015    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_119 | 833         | 4591        | 0.006035  | 82638        | 72420        | 86.9387755102041    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_12  | 1710        | 9809        | 0.012767  | 176562       | 153204       | 89.5929824561403    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_120 | 1072        | 6010        | 0.007856  | 108180       | 94272        | 87.9402985074627    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_121 | 1110        | 6230        | 0.008144  | 112140       | 97728        | 88.0432432432432    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_122 | 1098        | 6154        | 0.008052  | 110772       | 96624        | 88                  |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_123 | 1097        | 6146        | 0.008051  | 110628       | 96612        | 88.0692798541477    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_124 | 1107        | 6208        | 0.008127  | 111744       | 97524        | 88.0975609756098    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
