*|************|*************|*************|***********|**************|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Expected Ass | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_00  | 25          | 346         | 0.000508  | 6228         | 6096         | 243.84              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_01  | 25          | 346         | 0.000508  | 6228         | 6096         | 243.84              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_02  | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_03  | 25          | 346         | 0.000508  | 6228         | 6096         | 243.84              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_04  | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_05  | 25          | 346         | 0.000508  | 6228         | 6096         | 243.84              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_06  | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_07  | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_08  | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_09  | 25          | 379         | 0.000552  | 6822         | 6624         | 264.96              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_10  | 853         | 10073       | 0.012979  | 181314       | 155748       | 182.588511137163    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_100 | 62          | 763         | 0.001039  | 13734        | 12468        | 201.096774193548    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_101 | 62          | 763         | 0.001039  | 13734        | 12468        | 201.096774193548    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_102 | 63          | 763         | 0.001039  | 13734        | 12468        | 197.904761904762    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_103 | 63          | 697         | 0.000951  | 12546        | 11412        | 181.142857142857    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_104 | 63          | 862         | 0.001171  | 15516        | 14052        | 223.047619047619    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_105 | 62          | 763         | 0.001039  | 13734        | 12468        | 201.096774193548    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_106 | 62          | 664         | 0.000907  | 11952        | 10884        | 175.548387096774    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_107 | 63          | 763         | 0.001039  | 13734        | 12468        | 197.904761904762    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_108 | 62          | 829         | 0.001127  | 14922        | 13524        | 218.129032258065    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_109 | 62          | 763         | 0.001039  | 13734        | 12468        | 201.096774193548    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_11  | 858         | 9743        | 0.012539  | 175374       | 150468       | 175.370629370629    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_110 | 64          | 763         | 0.001039  | 13734        | 12468        | 194.8125            |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_111 | 62          | 697         | 0.000951  | 12546        | 11412        | 184.064516129032    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_112 | 62          | 829         | 0.001127  | 14922        | 13524        | 218.129032258065    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_113 | 62          | 730         | 0.000995  | 13140        | 11940        | 192.58064516129     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_114 | 62          | 697         | 0.000951  | 12546        | 11412        | 184.064516129032    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_115 | 62          | 730         | 0.000995  | 13140        | 11940        | 192.58064516129     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_116 | 62          | 796         | 0.001083  | 14328        | 12996        | 209.612903225806    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_117 | 63          | 697         | 0.000951  | 12546        | 11412        | 181.142857142857    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_118 | 63          | 829         | 0.001127  | 14922        | 13524        | 214.666666666667    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_119 | 63          | 697         | 0.000951  | 12546        | 11412        | 181.142857142857    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_12  | 853         | 10436       | 0.013463  | 187848       | 161556       | 189.397420867526    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_120 | 1328        | 16286       | 0.020932  | 293148       | 251184       | 189.144578313253    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_121 | 1313        | 15626       | 0.020052  | 281268       | 240624       | 183.262757044935    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_122 | 1292        | 15593       | 0.020008  | 280674       | 240096       | 185.832817337461    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_123 | 1312        | 15857       | 0.02036   | 285426       | 244320       | 186.219512195122    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_124 | 1296        | 15758       | 0.020228  | 283644       | 242736       | 187.296296296296    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_125 | 1304        | 15824       | 0.020316  | 284832       | 243792       | 186.957055214724    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
