*|************|*************|*************|***********|**************|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Expected Ass | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_00  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_01  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_02  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_03  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_04  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_05  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_06  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_07  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_08  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_09  | 16          | 293         | 0.000443  | 5274         | 5316         | 332.25              |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_10  | 1495        | 5955        | 0.008021  | 107190       | 96252        | 64.3826086956522    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_100 | 717         | 2918        | 0.003941  | 52524        | 47292        | 65.9581589958159    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_101 | 904         | 3669        | 0.004955  | 66042        | 59460        | 65.7743362831858    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_102 | 757         | 3078        | 0.004157  | 55404        | 49884        | 65.8969616908851    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_103 | 825         | 3347        | 0.00452   | 60246        | 54240        | 65.7454545454545    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_104 | 861         | 3485        | 0.004706  | 62730        | 56472        | 65.588850174216     |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_105 | 779         | 3169        | 0.00428   | 57042        | 51360        | 65.9306803594352    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_106 | 741         | 3020        | 0.004079  | 54360        | 48948        | 66.0566801619433    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_107 | 793         | 3216        | 0.004343  | 57888        | 52116        | 65.7200504413619    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_108 | 855         | 3467        | 0.004682  | 62406        | 56184        | 65.7122807017544    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_109 | 829         | 3354        | 0.004529  | 60372        | 54348        | 65.5585042219542    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_11  | 1817        | 7231        | 0.009743  | 130158       | 116916       | 64.3456246560264    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_110 | 154         | 781         | 0.001087  | 14058        | 13044        | 84.7012987012987    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_111 | 116         | 632         | 0.000886  | 11376        | 10632        | 91.6551724137931    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_112 | 121         | 652         | 0.000913  | 11736        | 10956        | 90.5454545454545    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_113 | 169         | 841         | 0.001168  | 15138        | 14016        | 82.9349112426035    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_114 | 150         | 759         | 0.001057  | 13662        | 12684        | 84.56               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_115 | 147         | 750         | 0.001045  | 13500        | 12540        | 85.3061224489796    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_116 | 165         | 819         | 0.001138  | 14742        | 13656        | 82.7636363636364    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_117 | 149         | 761         | 0.00106   | 13698        | 12720        | 85.3691275167785    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_118 | 144         | 741         | 0.001033  | 13338        | 12396        | 86.0833333333333    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_119 | 200         | 959         | 0.001327  | 17262        | 15924        | 79.62               |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_12  | 1422        | 5666        | 0.007631  | 101988       | 91572        | 64.3966244725738    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_120 | 452         | 1898        | 0.002575  | 34164        | 30900        | 68.3628318584071    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_121 | 528         | 2196        | 0.002977  | 39528        | 35724        | 67.6590909090909    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_122 | 540         | 2247        | 0.003046  | 40446        | 36552        | 67.6888888888889    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_123 | 561         | 2325        | 0.003151  | 41850        | 37812        | 67.4010695187166    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_124 | 507         | 2118        | 0.002872  | 38124        | 34464        | 67.9763313609467    |* 
*|************|*************|*************|***********|**************|**************|*********************|* 
*| values_125 | 481         | 2020        | 0.00274   | 36360        | 32880        | 68.3575883575884    |* 
