*|************|*************|*************|***********|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|*********************|* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_00  | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_01  | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_02  | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_03  | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_04  | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_05  | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_06  | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_07  | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_08  | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_09  | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_10  | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_100 | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_101 | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_102 | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_103 | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_104 | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_105 | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_106 | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_107 | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_108 | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_109 | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_11  | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_110 | 914         | 23848       | 0.90986   | 45493        | 49.77352297593      |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_111 | 935         | 24066       | 0.91508   | 45754        | 48.9347593582888    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_112 | 937         | 24006       | 0.9137    | 45685        | 48.7566702241195    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_113 | 935         | 24038       | 0.91442   | 45721        | 48.8994652406417    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_114 | 952         | 24252       | 0.91952   | 45976        | 48.2941176470588    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_115 | 931         | 24062       | 0.91496   | 45748        | 49.1385606874329    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_116 | 935         | 24038       | 0.91442   | 45721        | 48.8994652406417    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_117 | 937         | 24130       | 0.91658   | 45829        | 48.9103521878335    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_118 | 942         | 24208       | 0.91844   | 45922        | 48.7494692144374    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_119 | 924         | 23948       | 0.91226   | 45613        | 49.3647186147186    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_12  | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_120 | 443         | 19884       | 0.80026   | 40013        | 90.3227990970655    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_121 | 450         | 20006       | 0.80312   | 40156        | 89.2355555555555    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_122 | 447         | 19888       | 0.79858   | 39929        | 89.3266219239374    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_123 | 455         | 20060       | 0.8044    | 40220        | 88.3956043956044    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_124 | 448         | 19938       | 0.80154   | 40077        | 89.4575892857143    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_125 | 455         | 20060       | 0.8044    | 40220        | 88.3956043956044    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_126 | 455         | 20060       | 0.8044    | 40220        | 88.3956043956044    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_127 | 460         | 20114       | 0.80568   | 40284        | 87.5739130434783    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_128 | 443         | 19884       | 0.80026   | 40013        | 90.3227990970655    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_129 | 449         | 19988       | 0.8027    | 40135        | 89.3875278396437    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_13  | 202         | 17663       | 0.75012   | 37506        | 185.673267326733    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_130 | 443         | 19884       | 0.80026   | 40013        | 90.3227990970655    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_131 | 460         | 20114       | 0.80568   | 40284        | 87.5739130434783    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_132 | 444         | 19934       | 0.80142   | 40071        | 90.25               |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_133 | 448         | 19938       | 0.80154   | 40077        | 89.4575892857143    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_134 | 444         | 19934       | 0.80142   | 40071        | 90.25               |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_135 | 460         | 20114       | 0.80568   | 40284        | 87.5739130434783    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_136 | 444         | 19934       | 0.80142   | 40071        | 90.25               |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_137 | 448         | 19938       | 0.80154   | 40077        | 89.4575892857143    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_138 | 447         | 19888       | 0.79858   | 39929        | 89.3266219239374    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_139 | 442         | 19834       | 0.7973    | 39865        | 90.1923076923077    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_14  | 203         | 17709       | 0.7528    | 37640        | 185.418719211823    |* 
