*|************|*************|*************|***********|**************|*********************|* 
*| Incite     | Executed    | Executed    | Execution | Clock Cycle  | Average Clock Cycle |* 
*|            | C Instr     | Ass Instr   | Time      | Effect.      | per Instruction     |* 
*|************|*************|*************|***********|**************|*********************|* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_00  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_01  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_02  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_03  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_04  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_05  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_06  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_07  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_08  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_09  | 15          | 16281       | 0.65808   | 32904        | 2193.6              |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_10  | 29          | 16418       | 0.66834   | 33417        | 1152.31034482759    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_100 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_101 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_102 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_103 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_104 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_105 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_106 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_107 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_108 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_109 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_11  | 29          | 16418       | 0.66834   | 33417        | 1152.31034482759    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_110 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_111 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_112 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_113 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_114 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_115 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_116 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_117 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_118 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_119 | 37          | 16530       | 0.67108   | 33554        | 906.864864864865    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_12  | 29          | 16418       | 0.66834   | 33417        | 1152.31034482759    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_120 | 15          | 16281       | 0.65788   | 32894        | 2192.93333333333    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_121 | 15          | 16281       | 0.65788   | 32894        | 2192.93333333333    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_122 | 15          | 16281       | 0.65788   | 32894        | 2192.93333333333    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_123 | 15          | 16281       | 0.65788   | 32894        | 2192.93333333333    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_124 | 15          | 16281       | 0.65788   | 32894        | 2192.93333333333    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_125 | 15          | 16281       | 0.65788   | 32894        | 2192.93333333333    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_126 | 15          | 16281       | 0.65788   | 32894        | 2192.93333333333    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_127 | 15          | 16281       | 0.65788   | 32894        | 2192.93333333333    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_128 | 15          | 16281       | 0.65788   | 32894        | 2192.93333333333    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_129 | 15          | 16281       | 0.65788   | 32894        | 2192.93333333333    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_13  | 29          | 16418       | 0.66834   | 33417        | 1152.31034482759    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_130 | 57          | 16770       | 0.67742   | 33871        | 594.228070175439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_131 | 57          | 16770       | 0.67742   | 33871        | 594.228070175439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_132 | 57          | 16770       | 0.67742   | 33871        | 594.228070175439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_133 | 57          | 16770       | 0.67742   | 33871        | 594.228070175439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_134 | 57          | 16770       | 0.67742   | 33871        | 594.228070175439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_135 | 57          | 16770       | 0.67742   | 33871        | 594.228070175439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_136 | 57          | 16770       | 0.67742   | 33871        | 594.228070175439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_137 | 57          | 16770       | 0.67742   | 33871        | 594.228070175439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_138 | 57          | 16770       | 0.67742   | 33871        | 594.228070175439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_139 | 57          | 16770       | 0.67742   | 33871        | 594.228070175439    |* 
*|************|*************|*************|***********|**************|*********************|* 
*| values_14  | 29          | 16418       | 0.66834   | 33417        | 1152.31034482759    |* 
*|************|*************|*************|***********|**************|*********************|* 
